  -697.16876       158.49362      2.53547672E-02  -95.531921    
  -694.86224       153.82858      2.57729664E-02  -95.362671    
  -692.55560       149.16351      2.61950456E-02  -95.188774    
  -690.24896       144.49844      2.66209152E-02  -95.010101    
  -687.94238       139.83337      2.70504951E-02  -94.826584    
  -685.63568       135.16830      2.74837054E-02  -94.638145    
  -683.32910       130.50327      2.79204305E-02  -94.444656    
  -681.02246       125.83820      2.83605866E-02  -94.246040    
  -678.71582       121.17313      2.88040768E-02  -94.042183    
  -676.40924       116.50806      2.92507708E-02  -93.833000    
  -674.10254       111.84299      2.97005884E-02  -93.618446    
  -671.79596       107.17795      3.01533546E-02  -93.398354    
  -669.48938       102.51288      3.06089800E-02  -93.172630    
  -667.18274       97.847809      3.10673416E-02  -92.941246    
  -664.87610       93.182739      3.15282680E-02  -92.704025    
  -662.56940       88.517670      3.19916457E-02  -92.460953    
  -660.26288       83.852631      3.24572735E-02  -92.211823    
  -657.95624       79.187561      3.29250433E-02  -91.956619    
  -655.64960       74.522491      3.33947651E-02  -91.695229    
  -653.34302       69.857422      3.38662788E-02  -91.427528    
  -651.03632       65.192352      3.43394242E-02  -91.153481    
  -648.72974       60.527313      3.48139852E-02  -90.872932    
  -646.42310       55.862244      3.52897830E-02  -90.585793    
  -644.11646       51.197174      3.57666388E-02  -90.291977    
  -641.80981       46.532104      3.62443328E-02  -89.991394    
  -639.50317       41.867050      3.67226750E-02  -89.683952    
  -637.19659       37.202011      3.72014232E-02  -89.369545    
  -634.88989       32.536911      3.76803912E-02  -89.048088    
  -632.58337       27.871841      3.81593108E-02  -88.719467    
  -630.27673       23.206772      3.86379994E-02  -88.383644    
  -627.97009       18.541718      3.91161926E-02  -88.040482    
  -625.66351       13.876678      3.95936370E-02  -87.689934    
  -623.35681       9.2115784      4.00701240E-02  -87.331871    
  -621.05023       4.5465393      4.05453481E-02  -86.966240    
  -618.74359     -0.11853027      4.10190783E-02  -86.592964    
  -616.43695      -4.7835999      4.14910540E-02  -86.211937    
  -614.13037      -9.4486389      4.19609733E-02  -85.823112    
  -611.82367      -14.113739      4.24286313E-02  -85.426399    
  -609.51709      -18.778778      4.28936444E-02  -85.021729    
  -607.21045      -23.443848      4.33558226E-02  -84.609055    
  -604.90387      -28.108902      4.38148156E-02  -84.188263    
  -602.59723      -32.773972      4.42704000E-02  -83.759354    
  -600.29065      -37.439026      4.47221994E-02  -83.322220    
  -597.98395      -42.104095      4.51700054E-02  -82.876862    
  -595.67737      -46.769165      4.56134453E-02  -82.423164    
  -593.37073      -51.434235      4.60522398E-02  -81.961121    
  -591.06409      -56.099289      4.64860946E-02  -81.490692    
  -588.75751      -60.764343      4.69146930E-02  -81.011818    
  -586.45087      -65.429413      4.73377369E-02  -80.524506    
  -584.14423      -70.094482      4.77548987E-02  -80.028671    
  -581.83759      -74.759552      4.81659025E-02  -79.524345    
  -579.53101      -79.424606      4.85703908E-02  -79.011467    
  -577.22437      -84.089676      4.89680953E-02  -78.490067    
  -574.91772      -88.754730      4.93586995E-02  -77.960106    
  -572.61108      -93.419800      4.97418754E-02  -77.421585    
  -570.30444      -98.084869      5.01173437E-02  -76.874535    
  -567.99786      -102.74992      5.04847616E-02  -76.318924    
  -565.69122      -107.41499      5.08439019E-02  -75.754799    
  -563.38458      -112.08005      5.11943921E-02  -75.182190    
  -561.07800      -116.74512      5.15359566E-02  -74.601089    
  -558.77136      -121.41019      5.18683456E-02  -74.011566    
  -556.46472      -126.07524      5.21912426E-02  -73.413666    
  -554.15808      -130.74031      5.25043681E-02  -72.807411    
  -551.85150      -135.40536      5.28074391E-02  -72.192856    
  -549.54486      -140.07043      5.31002171E-02  -71.570084    
  -547.23822      -144.73550      5.33824079E-02  -70.939140    
  -544.93158      -149.40057      5.36537804E-02  -70.300125    
  -542.62500      -154.06563      5.39140776E-02  -69.653107    
  -540.31836      -158.73068      5.41630425E-02  -68.998161    
  -538.01172      -163.39575      5.44004850E-02  -68.335419    
  -535.70508      -168.06082      5.46261519E-02  -67.664948    
  -533.39850      -172.72588      5.48398606E-02  -66.986877    
  -531.09186      -177.39095      5.50413728E-02  -66.301300    
  -528.78522      -182.05600      5.52305356E-02  -65.608376    
  -526.47864      -186.72107      5.54071255E-02  -64.908188    
  -524.17200      -191.38614      5.55710010E-02  -64.200912    
  -521.86536      -196.05121      5.57220057E-02  -63.486687    
  -519.55872      -200.71626      5.58599830E-02  -62.765640    
  -517.25214      -205.38132      5.59847951E-02  -62.037930    
  -514.94550      -210.04639      5.60963191E-02  -61.303715    
  -512.63885      -214.71146      5.61944805E-02  -60.563187    
  -510.33221      -219.37653      5.62791228E-02  -59.816483    
  -508.02563      -224.04158      5.63502014E-02  -59.063805    
  -505.71896      -228.70665      5.64076528E-02  -58.305332    
  -503.41235      -233.37170      5.64513914E-02  -57.541252    
  -501.10574      -238.03677      5.64813726E-02  -56.771732    
  -498.79907      -242.70184      5.64976148E-02  -55.997005    
  -496.49249      -247.36690      5.65000251E-02  -55.217247    
  -494.18585      -252.03197      5.64886853E-02  -54.432690    
  -491.87924      -256.69702      5.64635471E-02  -53.643513    
  -489.57260      -261.36209      5.64246662E-02  -52.849953    
  -487.26599      -266.02716      5.63720502E-02  -52.052197    
  -484.95935      -270.69220      5.63057922E-02  -51.250507    
  -482.65274      -275.35730      5.62259071E-02  -50.445065    
  -480.34613      -280.02234      5.61325215E-02  -49.636116    
  -478.03949      -284.68741      5.60256913E-02  -48.823868    
  -475.73285      -289.35248      5.59055619E-02  -48.008568    
